relid,year,type_of_violence,best
RUS-2002-1-348-542,2002,1,4
RUS-2002-1-348-366,2002,1,1
RUS-2002-1-348-319,2002,1,0
RUS-2002-1-348-391,2002,1,29
RUS-2002-1-348-450,2002,1,2
RUS-2002-1-348-326,2002,1,0
RUS-2002-1-348-328,2002,1,0
RUS-2002-1-348-350,2002,1,0
RUS-2002-1-348-321,2002,1,0
RUS-1994-2-276-13,1994,2,24
RUS-2002-1-348-329,2002,1,9
RUS-2002-1-348-331,2002,1,1
RUS-2002-1-348-332,2002,1,2
RUS-2002-1-348-345,2002,1,1
RUS-2002-1-348-443,2002,1,2
RUS-2002-1-348-339,2002,1,4
RUS-2002-1-348-340,2002,1,1
RUS-2002-1-348-341,2002,1,0
RUS-2002-1-348-343,2002,1,1
RUS-2002-1-348-346,2002,1,0
RUS-2002-1-348-347,2002,1,0
RUS-2002-1-348-348,2002,1,0
RUS-2002-1-348-364,2002,1,1
RUS-1994-2-276-11,1994,2,2
RUS-2004-1-348-60,2004,1,5
RUS-2002-1-348-349,2002,1,0
RUS-2002-1-348-375,2002,1,1
RUS-1994-2-276-10,1994,2,4
RUS-1994-2-276-14,1994,2,7
RUS-2002-1-348-449,2002,1,4
RUS-2002-1-348-378,2002,1,0
RUS-2002-1-348-407,2002,1,2
RUS-2002-1-348-435,2002,1,1
RUS-2002-1-348-385,2002,1,25
RUS-2002-1-348-387,2002,1,0
RUS-2002-1-348-442,2002,1,1
RUS-1991-1-370-81,1991,1,1
RUS-2002-1-348-437,2002,1,0
RUS-2002-1-348-414,2002,1,0
RUS-2002-1-348-402,2002,1,0
RUS-2002-1-348-411,2002,1,0
RUS-2002-1-348-543,2002,1,3
RUS-2002-1-348-549.1,2002,1,0
RUS-2002-1-348-410,2002,1,118
RUS-2002-1-348-412,2002,1,2
RUS-2002-1-348-413,2002,1,2
RUS-2002-1-348-417,2002,1,1
RUS-2002-1-348-550,2002,1,0
RUS-2002-1-348-420,2002,1,0
RUS-2002-1-348-485,2002,1,1
RUS-2002-1-348-419,2002,1,23
RUS-2002-1-348-460.1,2002,1,0
RUS-2002-1-348-463,2002,1,0
RUS-2002-1-348-425,2002,1,0
RUS-2002-1-348-480,2002,1,0
RUS-2002-1-348-493,2002,1,1
RUS-2002-1-348-426,2002,1,1
RUS-2002-1-348-427,2002,1,8
RUS-2002-1-348-430,2002,1,5
RUS-2002-1-348-464,2002,1,8
RUS-2002-1-348-465,2002,1,0
RUS-2002-1-348-467,2002,1,9
RUS-2002-1-348-468,2002,1,2
RUS-2002-1-348-470,2002,1,1
RUS-2002-1-348-472,2002,1,0
RUS-2002-1-348-474,2002,1,2
RUS-2002-1-348-475.1,2002,1,0
RUS-2002-1-348-489,2002,1,1
RUS-2002-1-348-496,2002,1,0
RUS-2002-1-348-502,2002,1,12
RUS-2002-1-348-531,2002,1,1
RUS-2002-1-348-532,2002,1,0
RUS-2002-1-348-534,2002,1,0
RUS-2002-1-348-544,2002,1,0
RUS-2002-1-348-548,2002,1,6
RUS-2002-1-348-545,2002,1,0
RUS-2002-1-348-546,2002,1,0
RUS-2002-1-348-547,2002,1,0
RUS-2002-1-348-552,2002,1,0
RUS-2002-1-348-556,2002,1,5
RUS-2002-1-348-558,2002,1,1
RUS-1994-2-275-10,1994,2,180
RUS-2002-1-348-549.2,2002,1,0
RUS-2002-1-348-501,2002,1,2
RUS-2002-1-348-446.2,2002,1,0
RUS-2002-1-348-460.2,2002,1,0
RUS-2002-1-348-441.2,2002,1,1
RUS-2002-1-348-533,2002,1,0
RUS-2002-1-348-535,2002,1,0
RUS-2002-1-348-519,2002,1,0
RUS-2002-1-348-394,2002,1,5
RUS-2002-1-348-239,2002,1,6
RUS-2002-1-348-229,2002,1,0
RUS-2002-1-348-204,2002,1,2
RUS-2002-1-348-223,2002,1,0
RUS-2002-1-348-236,2002,1,3
RUS-2002-1-348-238,2002,1,2
RUS-2002-1-348-260,2002,1,0
RUS-2002-1-348-492,2002,1,1
RUS-2002-1-348-262,2002,1,0
RUS-2002-1-348-263,2002,1,0
RUS-2002-1-348-500,2002,1,0
RUS-2002-1-348-205,2002,1,0
RUS-2002-1-348-286,2002,1,0
RUS-2002-1-348-408,2002,1,1
RUS-2002-1-348-322,2002,1,0
RUS-2002-1-348-334,2002,1,1
RUS-1990-2-274-9,1990,2,6
RUS-2002-1-348-358,2002,1,3
RUS-2002-1-348-369,2002,1,2
RUS-2002-1-348-392,2002,1,11
RUS-2002-1-348-399,2002,1,4
RUS-2002-1-348-438,2002,1,0
RUS-2005-3-1195-999,2005,3,2
RUS-2005-1-348-216,2005,1,1
RUS-2006-1-348-24,2006,1,0
RUS-2006-1-348-51,2006,1,1
RUS-2006-3-365-994,2006,3,1
RUS-2007-1-348-104,2007,1,0
RUS-2007-3-365-4,2007,3,2
RUS-2008-1-773-26,2008,1,1
RUS-2008-3-1210-3,2008,3,2
RUS-2010-1-773-70,2010,1,0
RUS-2010-1-773-233,2010,1,2
RUS-2011-1-773-42,2011,1,3
RUS-2004-3-365-11,2004,3,2
RUS-1996-1-348-2,1996,1,1
RUS-2000-3-1195-5,2000,3,1
RUS-2000-3-1195-7,2000,3,1
RUS-2002-1-348-490,2002,1,5
RUS-2002-1-348-284,2002,1,0
RUS-2002-1-348-231,2002,1,0
RUS-2002-1-348-428,2002,1,6
RUS-2002-1-348-521,2002,1,2
RUS-2002-1-348-525,2002,1,42
RUS-2002-1-348-518,2002,1,4
RUS-2002-1-348-554,2002,1,0
RUS-2002-1-348-433,2002,1,2
RUS-2002-1-348-495,2002,1,2
RUS-2002-1-348-497,2002,1,1
RUS-2002-1-348-439,2002,1,0
RUS-2002-1-348-440,2002,1,1
RUS-2002-1-348-393,2002,1,0
RUS-2002-1-348-395,2002,1,3
RUS-2002-1-348-447,2002,1,0
RUS-2002-1-348-458,2002,1,0
RUS-2002-1-348-313,2002,1,2
RUS-2002-1-348-314,2002,1,0
RUS-2002-1-348-370,2002,1,1
RUS-2002-1-348-371,2002,1,1
RUS-2002-1-348-434,2002,1,1
RUS-2002-1-348-373,2002,1,24
RUS-2002-1-348-335,2002,1,1
RUS-2002-1-348-401,2002,1,3
RUS-2002-1-348-471,2002,1,2
RUS-2002-1-348-482,2002,1,3
RUS-2002-1-348-323,2002,1,0
RUS-2002-1-348-325,2002,1,1
RUS-2002-1-348-324,2002,1,1
RUS-2002-1-348-400,2002,1,1
RUS-2002-1-348-403,2002,1,0
RUS-2002-1-348-315,2002,1,0
RUS-2002-1-348-344,2002,1,0
RUS-2002-1-348-365,2002,1,1
RUS-2002-1-348-376,2002,1,5
RUS-2002-1-348-396,2002,1,1
RUS-2002-1-348-422,2002,1,2
RUS-2002-1-348-404,2002,1,0
RUS-2002-1-348-271,2002,1,5
RUS-2002-1-348-448,2002,1,4
RUS-2002-1-348-477,2002,1,0
RUS-2002-1-348-491,2002,1,2
RUS-2002-1-348-498,2002,1,2
RUS-2002-1-348-499,2002,1,1
RUS-2002-1-348-318,2002,1,2
RUS-2002-1-348-510,2002,1,1
