relid,year,type_of_violence,best
USA-2002-1-360-54,2002,1,4
USA-2002-1-360-56,2002,1,1
USA-2001-1-360-20,2001,1,15
USA-2001-1-360-24,2001,1,4
USA-2001-1-360-26,2001,1,50
USA-2001-1-360-27,2001,1,30
USA-2001-1-360-28,2001,1,0
USA-2002-1-360-16,2002,1,7
USA-2002-1-360-24,2002,1,3
USA-2002-1-360-48,2002,1,4
USA-2001-1-360-5,2001,1,0
USA-2001-1-360-12,2001,1,2
USA-2001-1-360-25,2001,1,156
USA-2001-1-360-22,2001,1,2
USA-2001-1-360-13,2001,1,34
USA-2001-1-360-14,2001,1,28
USA-2001-1-360-29,2001,1,13
USA-2001-1-360-18,2001,1,3
USA-2001-1-360-19,2001,1,0
USA-2001-1-360-15,2001,1,30
USA-2001-1-360-10,2001,1,8
USA-2001-1-360-21,2001,1,272
USA-2001-1-360-30,2001,1,0
USA-2001-1-360-31,2001,1,5
USA-2001-1-360-32,2001,1,58
USA-2001-1-360-37,2001,1,7
USA-2001-1-360-33,2001,1,12
USA-2001-1-360-35,2001,1,9
USA-2001-1-360-38,2001,1,4
USA-2001-1-360-40,2001,1,5
USA-2002-1-360-999.1,2002,1,16
USA-2001-1-360-41,2001,1,200
USA-2002-1-360-2,2002,1,1
USA-2001-1-360-45,2001,1,15
USA-2002-1-360-17,2002,1,200
USA-2001-1-360-46,2001,1,92
USA-2002-1-360-3,2002,1,16
USA-2002-1-360-4,2002,1,13
USA-2002-1-360-11,2002,1,3
USA-2002-1-360-38,2002,1,10
USA-2002-1-360-15,2002,1,4
USA-2002-1-360-5,2002,1,15
USA-2002-1-360-6,2002,1,12
USA-2002-1-360-7,2002,1,19
USA-2002-1-360-8,2002,1,24
USA-2002-1-360-9,2002,1,6
USA-2002-1-360-10,2002,1,10
USA-2002-1-360-13,2002,1,1
USA-2002-1-360-31,2002,1,5
USA-2002-1-360-19,2002,1,4
USA-2002-1-360-20,2002,1,100
USA-2002-1-360-23,2002,1,15
USA-2002-1-360-21,2002,1,0
USA-2002-1-360-22,2002,1,0
USA-2002-1-360-25,2002,1,16
USA-2002-1-360-27,2002,1,0
